ProductName,Version,OEM,SeverityLevel,Vulnerability,MitigationStrategy,PublishedDate,UniqueID
Security Bulletin: NVIDIA GeForce Experience - May 2019,N/A,NVIDIA,High,"CVE-2019-5678, CVE-2019-5676",https://nvidia.custhelp.com/app/answers/detail/a_id/4806,30 May 2019,30 May 2019
Security Bulletin: NVIDIA GPU Display Driver - May 2019,N/A,NVIDIA,High,"CVE-2019-5675, CVE-2019-5676, CVE-2019-5677",https://nvidia.custhelp.com/app/answers/detail/a_id/4797,09 May 2019,30 May 2019
Security Bulletin: NVIDIA Jetson TX1 and TX2 L4T - April 2019,N/A,NVIDIA,High,"CVE-2019-5673, CVE-2019-5672, CVE-2018-6271, CVE-2018-6269, CVE-2018-6268, CVE-2018 6267, CVE-2018-3665, CVE-2018-3639, CVE-2018-6239, CVE-2017-6284, CVE-2017-6278, CVE 2017-6274, CVE-2017-0330",https://nvidia.custhelp.com/app/answers/detail/a_id/4787,02 Apr 2019,02 Apr 2019
Security Bulletin: NVIDIA GeForce Experience – March 2019,N/A,NVIDIA,High,CVE-2019-5674,https://nvidia.custhelp.com/app/answers/detail/a_id/4784,26 Mar 2019,27 Mar 2018
Security Bulletin: NVIDIA GPU Display Driver - February 2019,N/A,NVIDIA,High,"CVE-2019-5665, CVE-2019-5666, CVE-2019-5667, CVE-2019-5668, CVE-2019-5669, CVE-2019-5670, CVE-2019-5671, CVE-2018-6260",https://nvidia.custhelp.com/app/answers/detail/a_id/4772,22 Feb 2019,19 Mar 2019
Security Bulletin: NVIDIA GeForce Experience - November 2018,N/A,NVIDIA,High,"CVE-2018-6263, CVE-2018-6265, CVE-2018-6266",https://nvidia.custhelp.com/app/answers/detail/a_id/4740,19 Nov 2018,19 Nov 2018
Security Notice: NVIDIA Response to “Rendered Insecure: GPU Side Channel Attacks are Practical”– November 2018,N/A,NVIDIA,Low,CVE-2018-6260,https://nvidia.custhelp.com/app/answers/detail/a_id/4738,09 Nov 2018,22 Feb 2019
Security Bulletin: NVIDIA SHIELD TV – October 2018,N/A,NVIDIA,High,"CVE-2017-5715, CVE-2017-6289, CVE-2017-6293, CVE-2018-6246",https://nvidia.custhelp.com/app/answers/detail/a_id/4704,16 Oct 2018,16 Oct 2018
Security Bulletin: NVIDIA GeForce Experience - September 2018,N/A,NVIDIA,High,"CVE 2018-6261, CVE-2018-6262",https://nvidia.custhelp.com/app/answers/detail/a_id/4725,27 Sep 2018,27 Sep 2018
Security Bulletin: NVIDIA GeForce Experience Software Security Updates for Multiple Vulnerabilities When GameStream is Enabled,N/A,NVIDIA,High,"CVE-2018-6257, CVE-2018-6258, CVE-2018-6259",https://nvidia.custhelp.com/app/answers/detail/a_id/4685,30 Aug 2018,30 Aug 2018
